"Sample.Name","Barcode","Notes","Conc","SD","coef_of_var"
132,"neg132",NA,0.00598249750526749,0.000503841794872967,0.0842193071420995
133,"neg133",NA,0.00676172236895067,0.00158674780930694,0.234666217085926
134,"neg134",NA,0.0080691619903052,0.00107851633291801,0.133659026081494
135,"neg135",NA,0.00204241077444429,0.00288840501715606,1.4142135623731
136,"neg136",NA,0.00896970871544044,0.000816766691926336,0.0910583295219337
137,"neg137",NA,0.00736982306590048,0.000137747965047853,0.0186908103242261
138,"neg138",NA,0.00783707618997651,0.00096855063950133,0.123585711816875
139,"neg139",NA,0.00436830117723608,9.92430630195078e-05,0.0227189149724106
140,"neg140",NA,0.0079127186648521,0.00195615997750885,0.247217177857974
141,"neg141",NA,0.00575400896823854,0.000284250334793814,0.0494003982897565
142,"neg142",NA,0.0041308239962389,0.00213470031320801,0.516773485181564
143,"neg143",NA,0.00669200736573308,0.000503069299343733,0.0751746481810131
144,"neg144",NA,0.00600969846100777,0.000137070669368749,0.0228082440838078
145,"neg145",NA,0.00964250416198128,0.00233642698623397,0.242305001583105
146,"neg146",NA,0.00791100952442695,0.00311772673271573,0.394099731910204
147,"neg147",NA,0.014255584328658,0.00873077958407168,0.612446279492042
148,"neg148",NA,0.00768642369544772,0.00275744461321191,0.358742208661358
149,"neg149",NA,0.00533396571697081,0.00118491662285319,0.222145526560698
150,"neg150",NA,0.0135906598960213,0.00615439569261304,0.452840093100611
151,"neg151",NA,0.0476130734960787,0.00593480024812936,0.124646442927448
152,"neg152",NA,0.00357196241508632,0.00327408626967969,0.9166071445353
153,"neg153",NA,0.00719909154825371,0.00147590332550792,0.205012440196838
154,"neg154",NA,0.00639433482498888,0.000472118567703379,0.0738338827454503
155,"neg155",NA,0.00718218842738136,0.00141169435413878,0.196554903621972
156,"neg156",NA,0.0112709541322421,0.00124587581540665,0.110538628832021
157,"neg157",NA,0.016241131121565,0.00224233995485693,0.138065504063295
158,"neg158",NA,0.0112373180091559,0.00116905271370455,0.104033072015229
159,"neg159",NA,0.00519744230994766,0.00150923269178464,0.290379883369949
160,"neg160",NA,7.52627176610077,10.569447829871,1.40434044349515
